 EventID   CumTr  TrackID  Layer        X_mm        Y_mm        Z_mm    pTot_MeV       Eta       Phi     Theta   Charge   Energy_MeV    Edep_MeV    PDG_ID
       0       4      593     20     236.103    -939.972    3509.720       0.743    2.7581    0.7968    0.1267      0.0        0.743    0.000000        22
       0       4      593     21     238.228    -937.797    3533.600       0.743    2.7581    0.7968    0.1267      0.0        0.743    0.000000        22
       0       4      593     22     239.113    -936.892    3543.540       0.743    2.7581    0.7968    0.1267      0.0        0.743    0.000000        22
       0       4      616     21     243.276    -937.418    3533.600       1.101    1.6136    0.3081    0.3932      0.0        1.101    0.000000        22
       0       4      616     22     247.205    -936.168    3543.540       1.101    1.6136    0.3081    0.3932      0.0        1.101    0.000000        22
       0       4      616     23     256.643    -933.164    3567.420       1.101    1.6136    0.3081    0.3932      0.0        1.101    0.000000        22
       0       4      616     24     260.572    -931.914    3577.360       1.101    1.6136    0.3081    0.3932      0.0        1.101    0.000000        22
       0       4      617     21     241.236    -931.391    3533.600       0.268    1.2502    1.1174    0.5580      0.0        0.268    0.000000        22
       0       4      617     22     236.811    -924.577    3543.540       0.206    0.3058    2.2614    1.2697      0.0        0.206    0.000000        22
       0       4      620     21     241.754    -937.921    3533.600       1.266    1.8915    0.2394    0.2994      0.0        1.266    0.000000        22
       0       4      620     22     244.735    -937.193    3543.540       1.266    1.8915    0.2394    0.2994      0.0        1.266    0.000000        22
       0       4      621     21     230.322    -938.200    3533.600       8.155    1.2714    3.1361    0.5468      0.0        8.155    0.000000        22
       0       4      622     19     197.671    -914.956    3500.080       0.102   -0.6788    2.5562    2.2028      0.0        0.102    0.000000        22
       0       4      622     20     210.840    -919.363    3510.020       1.465   -0.3687    2.5101    1.9315      0.0        1.465    0.000000        22
       0       4      632     22     223.996    -938.281    3543.540       3.753    1.7274    2.9476    0.3518     -1.0        3.277    0.068067        11
       0       4      634     22     225.222    -937.173    3543.540       0.511    1.1129    1.5019    0.6350      0.0        0.511    0.000000        22
       0       4      634     23     226.434    -919.620    3567.420       0.511    1.1129    1.5019    0.6350      0.0        0.511    0.000000        22
       0       4      634     24     229.476    -913.013    3577.360       0.494    1.1046    1.0571    0.6399      0.0        0.494    0.000000        22
       0       4      634     25     239.714    -913.228    3601.240       0.329    1.1239   -0.1751    0.6285      0.0        0.329    0.000000        22
       0       4      635     21     224.733    -944.258    3533.900       0.511   -1.1129   -1.6397    2.5066      0.0        0.511    0.000000        22
       0       4      643     22     224.366    -938.095    3543.540       0.479    1.3658    3.0667    0.4997      0.0        0.479    0.000000        22
       0       4      643     23     211.366    -937.121    3567.420       0.479    1.3658    3.0667    0.4997      0.0        0.479    0.000000        22
       0       4      666     21     224.821    -942.596    3533.600       0.489    0.8339   -2.7717    0.8195      0.0        0.489    0.000000        22
       0       4      666     22     214.926    -943.227    3543.540       0.454    0.8724    2.9448    0.7918      0.0        0.454    0.000000        22
       0       4      678     20     236.021    -936.749    3509.720       0.413    1.3644    1.5999    0.5004      0.0        0.413    0.000000        22
